KO	Category	SuperPathway	SubPathway
K11687	Unknown function	Unknown function	Unknown function
K11688	Environmental Information Processing	Signal Transduction	Two-component system
K11689	Environmental Information Processing	Signal Transduction	Two-component system
K11690	Environmental Information Processing	Signal Transduction	Two-component system
K11691	Metabolism	Enzyme Families	Protein kinases
K11691	Environmental Information Processing	Signal Transduction	Two-component system
K11691	Environmental Information Processing	Signal Transduction	Two-component system
K11692	Environmental Information Processing	Signal Transduction	Two-component system
K11692	Environmental Information Processing	Signal Transduction	Two-component system
K11693	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K11694	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K11695	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K11696	Genetic Information Processing	Replication and Repair	Chromosome
K11697	Genetic Information Processing	Replication and Repair	Chromosome
K11698	Genetic Information Processing	Replication and Repair	Chromosome
K11699	Genetic Information Processing	Replication and Repair	Chromosome
K11700	Genetic Information Processing	Replication and Repair	Chromosome
K11701	Genetic Information Processing	Replication and Repair	Chromosome
K11702	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K11703	Metabolism	Amino Acid Metabolism	Lysine degradation
K11703	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K11703	Metabolism	Glycan Biosynthesis and Metabolism	Other types of O-glycan biosynthesis
K11704	Environmental Information Processing	Membrane Transport	Transporters
K11704	Environmental Information Processing	Membrane Transport	ABC transporters
K11705	Environmental Information Processing	Membrane Transport	Transporters
K11705	Environmental Information Processing	Membrane Transport	ABC transporters
K11706	Environmental Information Processing	Membrane Transport	Transporters
K11706	Environmental Information Processing	Membrane Transport	ABC transporters
K11707	Environmental Information Processing	Membrane Transport	Transporters
K11707	Environmental Information Processing	Membrane Transport	ABC transporters
K11708	Environmental Information Processing	Membrane Transport	Transporters
K11708	Environmental Information Processing	Membrane Transport	ABC transporters
K11709	Environmental Information Processing	Membrane Transport	Transporters
K11709	Environmental Information Processing	Membrane Transport	ABC transporters
K11710	Environmental Information Processing	Membrane Transport	Transporters
K11710	Environmental Information Processing	Membrane Transport	ABC transporters
K11711	Metabolism	Enzyme Families	Protein kinases
K11711	Environmental Information Processing	Signal Transduction	Two-component system
K11711	Environmental Information Processing	Signal Transduction	Two-component system
K11712	Environmental Information Processing	Signal Transduction	Two-component system
K11712	Environmental Information Processing	Signal Transduction	Two-component system
K11713	Metabolism	Metabolism of Terpenoids and Polyketides	Prenyltransferases
K11714	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K11715	Metabolism	Enzyme Families	Protein kinases
K11716	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K11717	Metabolism	Metabolism of Other Amino Acids	Selenocompound metabolism
K11717	Metabolism	Metabolism of Cofactors and Vitamins	Thiamine metabolism
K11718	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K11718	Genetic Information Processing	Folding, Sorting and Degradation	Protein processing in endoplasmic reticulum
K11719	Unknown function	Unknown function	Unknown function
K11720	Environmental Information Processing	Membrane Transport	Transporters
K11720	Environmental Information Processing	Membrane Transport	ABC transporters
K11721	Genetic Information Processing	Replication and Repair	Chromosome
K11722	Genetic Information Processing	Transcription	Transcription machinery
K11722	Genetic Information Processing	Replication and Repair	Chromosome
K11723	Genetic Information Processing	Replication and Repair	Chromosome
K11724	Genetic Information Processing	Replication and Repair	Chromosome
K11725	Metabolism	Energy Metabolism	Oxidative phosphorylation
K11726	Metabolism	Energy Metabolism	Oxidative phosphorylation
K11726	Genetic Information Processing	Replication and Repair	Chromosome
K11727	Genetic Information Processing	Replication and Repair	Chromosome
K11728	Genetic Information Processing	Replication and Repair	Chromosome
K11729	Unknown function	Unknown function	Unknown function
K11730	Unknown function	Unknown function	Unknown function
K11731	Metabolism	Metabolism of Terpenoids and Polyketides	Geraniol degradation
K11732	Unknown function	Unknown function	Unknown function
K11733	Unknown function	Unknown function	Unknown function
K11734	Unknown function	Unknown function	Unknown function
K11735	Unknown function	Unknown function	Unknown function
K11736	Unknown function	Unknown function	Unknown function
K11737	Unknown function	Unknown function	Unknown function
K11738	Unknown function	Unknown function	Unknown function
K11739	Unknown function	Unknown function	Unknown function
K11740	Unknown function	Unknown function	Unknown function
K11741	Unknown function	Unknown function	Unknown function
K11742	Unknown function	Unknown function	Unknown function
K11743	Unknown function	Unknown function	Unknown function
K11744	Unknown function	Unknown function	Unknown function
K11745	Unknown function	Unknown function	Unknown function
K11746	Unknown function	Unknown function	Unknown function
K11747	Unknown function	Unknown function	Unknown function
K11748	Unknown function	Unknown function	Unknown function
K11749	Metabolism	Enzyme Families	Peptidases
K11749	Cellular Processes	Cell Growth and Death	Cell cycle - Caulobacter
K11750	Unknown function	Unknown function	Unknown function
K11751	Metabolism	Nucleotide Metabolism	Purine metabolism
K11751	Metabolism	Nucleotide Metabolism	Pyrimidine metabolism
K11751	Metabolism	Metabolism of Cofactors and Vitamins	Nicotinate and nicotinamide metabolism
K11752	Metabolism	Metabolism of Cofactors and Vitamins	Riboflavin metabolism
K11753	Metabolism	Metabolism of Cofactors and Vitamins	Riboflavin metabolism
K11754	Metabolism	Metabolism of Cofactors and Vitamins	Folate biosynthesis
K11755	Metabolism	Amino Acid Metabolism	Histidine metabolism
K11756	Genetic Information Processing	Transcription	Transcription machinery
K11756	Genetic Information Processing	Replication and Repair	Chromosome
K11757	Genetic Information Processing	Transcription	Transcription machinery
K11757	Genetic Information Processing	Replication and Repair	Chromosome
K11758	Genetic Information Processing	Transcription	Transcription machinery
K11758	Genetic Information Processing	Replication and Repair	Chromosome
K11759	Genetic Information Processing	Transcription	Transcription machinery
K11759	Genetic Information Processing	Replication and Repair	Chromosome
K11760	Genetic Information Processing	Transcription	Transcription machinery
K11760	Genetic Information Processing	Replication and Repair	Chromosome
K11761	Genetic Information Processing	Transcription	Transcription machinery
K11761	Genetic Information Processing	Replication and Repair	Chromosome
K11762	Genetic Information Processing	Transcription	Transcription machinery
K11762	Genetic Information Processing	Replication and Repair	Chromosome
K11763	Genetic Information Processing	Transcription	Transcription machinery
K11763	Genetic Information Processing	Replication and Repair	Chromosome
K11764	Genetic Information Processing	Transcription	Transcription machinery
K11764	Genetic Information Processing	Replication and Repair	Chromosome
K11765	Genetic Information Processing	Transcription	Transcription machinery
K11765	Genetic Information Processing	Replication and Repair	Chromosome
K11766	Genetic Information Processing	Transcription	Transcription machinery
K11766	Genetic Information Processing	Replication and Repair	Chromosome
K11767	Genetic Information Processing	Transcription	Transcription machinery
K11767	Genetic Information Processing	Replication and Repair	Chromosome
K11768	Genetic Information Processing	Transcription	Transcription machinery
K11768	Genetic Information Processing	Replication and Repair	Chromosome
K11769	Genetic Information Processing	Transcription	Transcription machinery
K11769	Genetic Information Processing	Replication and Repair	Chromosome
K11770	Genetic Information Processing	Transcription	Transcription machinery
K11770	Genetic Information Processing	Replication and Repair	Chromosome
K11771	Genetic Information Processing	Transcription	Transcription machinery
K11771	Genetic Information Processing	Replication and Repair	Chromosome
K11772	Genetic Information Processing	Transcription	Transcription machinery
K11772	Genetic Information Processing	Replication and Repair	Chromosome
K11773	Genetic Information Processing	Transcription	Transcription machinery
K11773	Genetic Information Processing	Replication and Repair	Chromosome
K11774	Genetic Information Processing	Transcription	Transcription machinery
K11774	Genetic Information Processing	Replication and Repair	Chromosome
K11775	Genetic Information Processing	Transcription	Transcription machinery
K11775	Genetic Information Processing	Replication and Repair	Chromosome
K11776	Genetic Information Processing	Transcription	Transcription machinery
K11776	Genetic Information Processing	Replication and Repair	Chromosome
K11777	Unknown function	Unknown function	Unknown function
K11778	Metabolism	Metabolism of Terpenoids and Polyketides	Prenyltransferases
K11778	Metabolism	Metabolism of Terpenoids and Polyketides	Terpenoid backbone biosynthesis
K11779	Unknown function	Unknown function	Unknown function
K11780	Metabolism	Energy Metabolism	Methane metabolism
K11781	Metabolism	Energy Metabolism	Methane metabolism
K11782	Metabolism	Metabolism of Cofactors and Vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
K11783	Metabolism	Metabolism of Cofactors and Vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
K11784	Metabolism	Metabolism of Cofactors and Vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
K11785	Metabolism	Metabolism of Cofactors and Vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
K11786	Genetic Information Processing	Transcription	Transcription machinery
K11786	Genetic Information Processing	Replication and Repair	Chromosome
K11787	Metabolism	Nucleotide Metabolism	Purine metabolism
K11787	Metabolism	Metabolism of Cofactors and Vitamins	One carbon pool by folate
K11788	Metabolism	Nucleotide Metabolism	Purine metabolism
K11789	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11790	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11791	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11792	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11793	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11794	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11795	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11796	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11797	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11798	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11799	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11800	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11801	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11802	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11803	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11804	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11805	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11806	Genetic Information Processing	Translation	Ribosome biogenesis
K11806	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11807	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11808	Metabolism	Nucleotide Metabolism	Purine metabolism
K11809	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K11810	Environmental Information Processing	Membrane Transport	Transporters
K11810	Environmental Information Processing	Membrane Transport	Solute carrier family
K11811	Unknown function	Unknown function	Unknown function
K11812	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11812	Metabolism	Biosynthesis of Other Secondary Metabolites	Glucosinolate biosynthesis
K11812	Metabolism	Enzyme Families	Cytochrome P450
K11813	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11813	Metabolism	Biosynthesis of Other Secondary Metabolites	Glucosinolate biosynthesis
K11813	Metabolism	Enzyme Families	Cytochrome P450
K11814	Unknown function	Unknown function	Unknown function
K11815	Unknown function	Unknown function	Unknown function
K11816	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11817	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11818	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11818	Metabolism	Biosynthesis of Other Secondary Metabolites	Glucosinolate biosynthesis
K11818	Metabolism	Enzyme Families	Cytochrome P450
K11819	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11819	Metabolism	Amino Acid Metabolism	Amino acid related enzymes
K11819	Metabolism	Biosynthesis of Other Secondary Metabolites	Glucosinolate biosynthesis
K11820	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11820	Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
K11820	Metabolism	Biosynthesis of Other Secondary Metabolites	Glucosinolate biosynthesis
K11821	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11821	Metabolism	Biosynthesis of Other Secondary Metabolites	Glucosinolate biosynthesis
K11822	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K11822	Organismal Systems	Digestive System	Bile secretion
K11823	Unknown function	Unknown function	Unknown function
K11824	Cellular Processes	Transport and Catabolism	Endocytosis
K11824	Organismal Systems	Excretory System	Endocrine and other factor-regulated calcium reabsorption
K11824	Organismal Systems	Nervous System	Synaptic vesicle cycle
K11824	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11825	Cellular Processes	Transport and Catabolism	Endocytosis
K11825	Organismal Systems	Excretory System	Endocrine and other factor-regulated calcium reabsorption
K11825	Organismal Systems	Nervous System	Synaptic vesicle cycle
K11825	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11826	Cellular Processes	Transport and Catabolism	Endocytosis
K11826	Organismal Systems	Excretory System	Endocrine and other factor-regulated calcium reabsorption
K11826	Organismal Systems	Nervous System	Synaptic vesicle cycle
K11826	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11827	Cellular Processes	Transport and Catabolism	Endocytosis
K11827	Organismal Systems	Excretory System	Endocrine and other factor-regulated calcium reabsorption
K11827	Organismal Systems	Nervous System	Synaptic vesicle cycle
K11827	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11828	Organismal Systems	Nervous System	Glutamatergic synapse
K11828	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11829	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11830	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11831	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K11832	Metabolism	Enzyme Families	Peptidases
K11832	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11832	Genetic Information Processing	Replication and Repair	Fanconi anemia pathway
K11832	Genetic Information Processing	Replication and Repair	DNA repair and recombination proteins
K11833	Metabolism	Enzyme Families	Peptidases
K11833	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11834	Metabolism	Enzyme Families	Peptidases
K11834	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11835	Metabolism	Enzyme Families	Peptidases
K11835	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11836	Metabolism	Enzyme Families	Peptidases
K11836	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11837	Metabolism	Enzyme Families	Peptidases
K11837	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11838	Metabolism	Enzyme Families	Peptidases
K11838	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11838	Human Diseases	Infectious Diseases	Herpes simplex infection
K11839	Metabolism	Enzyme Families	Peptidases
K11839	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11839	Cellular Processes	Transport and Catabolism	Endocytosis
K11840	Metabolism	Enzyme Families	Peptidases
K11840	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11841	Metabolism	Enzyme Families	Peptidases
K11841	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11842	Metabolism	Enzyme Families	Peptidases
K11842	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11843	Metabolism	Enzyme Families	Peptidases
K11843	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11844	Metabolism	Enzyme Families	Peptidases
K11844	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11845	Metabolism	Enzyme Families	Peptidases
K11845	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11846	Metabolism	Enzyme Families	Peptidases
K11846	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11847	Metabolism	Enzyme Families	Peptidases
K11847	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11848	Metabolism	Enzyme Families	Peptidases
K11848	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11849	Metabolism	Enzyme Families	Peptidases
K11849	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11850	Metabolism	Enzyme Families	Peptidases
K11850	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11851	Metabolism	Enzyme Families	Peptidases
K11851	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11852	Metabolism	Enzyme Families	Peptidases
K11852	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11853	Metabolism	Enzyme Families	Peptidases
K11853	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11854	Metabolism	Enzyme Families	Peptidases
K11854	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11855	Metabolism	Enzyme Families	Peptidases
K11855	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11856	Metabolism	Enzyme Families	Peptidases
K11856	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11857	Metabolism	Enzyme Families	Peptidases
K11857	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11858	Metabolism	Enzyme Families	Peptidases
K11858	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11859	Metabolism	Enzyme Families	Peptidases
K11859	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11859	Organismal Systems	Immune System	NOD-like receptor signaling pathway
K11859	Human Diseases	Infectious Diseases	Measles
K11860	Metabolism	Enzyme Families	Peptidases
K11860	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11861	Metabolism	Enzyme Families	Peptidases
K11861	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11862	Metabolism	Enzyme Families	Peptidases
K11862	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11863	Metabolism	Enzyme Families	Peptidases
K11863	Genetic Information Processing	Folding, Sorting and Degradation	Protein processing in endoplasmic reticulum
K11863	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11864	Metabolism	Enzyme Families	Peptidases
K11864	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11865	Metabolism	Enzyme Families	Peptidases
K11865	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11866	Metabolism	Enzyme Families	Peptidases
K11866	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11866	Cellular Processes	Transport and Catabolism	Endocytosis
K11867	Metabolism	Enzyme Families	Peptidases
K11867	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11868	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K11868	Metabolism	Enzyme Families	Cytochrome P450
K11869	Metabolism	Enzyme Families	Peptidases
K11869	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11870	Metabolism	Enzyme Families	Peptidases
K11870	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11871	Metabolism	Enzyme Families	Peptidases
K11871	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11872	Metabolism	Enzyme Families	Peptidases
K11872	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11873	Metabolism	Enzyme Families	Peptidases
K11873	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11874	Metabolism	Enzyme Families	Peptidases
K11874	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11875	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11876	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11877	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11878	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11879	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11880	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11881	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11882	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11883	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes
K11883	Genetic Information Processing	Translation	Ribosome biogenesis
K11883	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11884	Genetic Information Processing	Translation	Ribosome biogenesis
K11884	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11885	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11886	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11887	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11888	Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
K11889	Metabolism	Enzyme Families	Protein kinases
K11889	Environmental Information Processing	Membrane Transport	Secretion system
K11890	Environmental Information Processing	Membrane Transport	Secretion system
K11891	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11891	Environmental Information Processing	Membrane Transport	Secretion system
K11892	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11892	Environmental Information Processing	Membrane Transport	Secretion system
K11893	Environmental Information Processing	Membrane Transport	Secretion system
K11894	Environmental Information Processing	Membrane Transport	Secretion system
K11895	Environmental Information Processing	Membrane Transport	Secretion system
K11896	Environmental Information Processing	Membrane Transport	Secretion system
K11897	Environmental Information Processing	Membrane Transport	Secretion system
K11898	Environmental Information Processing	Membrane Transport	Secretion system
K11899	Environmental Information Processing	Membrane Transport	Secretion system
K11900	Environmental Information Processing	Membrane Transport	Secretion system
K11901	Environmental Information Processing	Membrane Transport	Secretion system
K11902	Environmental Information Processing	Membrane Transport	Secretion system
K11903	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11903	Environmental Information Processing	Membrane Transport	Secretion system
K11904	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11904	Environmental Information Processing	Membrane Transport	Secretion system
K11905	Environmental Information Processing	Membrane Transport	Secretion system
K11906	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11906	Environmental Information Processing	Membrane Transport	Secretion system
K11907	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11907	Environmental Information Processing	Membrane Transport	Secretion system
K11908	Genetic Information Processing	Transcription	Transcription factors
K11908	Environmental Information Processing	Membrane Transport	Secretion system
K11909	Environmental Information Processing	Membrane Transport	Secretion system
K11910	Environmental Information Processing	Membrane Transport	Secretion system
K11911	Environmental Information Processing	Membrane Transport	Secretion system
K11912	Metabolism	Enzyme Families	Protein kinases
K11912	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11912	Environmental Information Processing	Membrane Transport	Secretion system
K11913	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11913	Environmental Information Processing	Membrane Transport	Secretion system
K11914	Genetic Information Processing	Transcription	Transcription factors
K11914	Environmental Information Processing	Membrane Transport	Secretion system
K11915	Environmental Information Processing	Membrane Transport	Bacterial secretion system
K11915	Environmental Information Processing	Membrane Transport	Secretion system
K11916	Environmental Information Processing	Membrane Transport	Secretion system
K11917	Genetic Information Processing	Transcription	Transcription factors
K11917	Environmental Information Processing	Membrane Transport	Secretion system
K11918	Environmental Information Processing	Membrane Transport	Secretion system
K11919	Environmental Information Processing	Membrane Transport	Secretion system
K11920	Genetic Information Processing	Transcription	Transcription factors
K11921	Genetic Information Processing	Transcription	Transcription factors
K11922	Genetic Information Processing	Transcription	Transcription factors
K11923	Genetic Information Processing	Transcription	Transcription factors
K11924	Genetic Information Processing	Transcription	Transcription factors
K11925	Genetic Information Processing	Transcription	Transcription factors
K11926	Genetic Information Processing	Transcription	Transcription factors
K11927	Genetic Information Processing	Folding, Sorting and Degradation	RNA degradation
K11928	Unknown function	Unknown function	Unknown function
K11929	Unknown function	Unknown function	Unknown function
K11930	Unknown function	Unknown function	Unknown function
K11931	Unknown function	Unknown function	Unknown function
K11932	Unknown function	Unknown function	Unknown function
K11933	Unknown function	Unknown function	Unknown function
K11934	Unknown function	Unknown function	Unknown function
K11935	Unknown function	Unknown function	Unknown function
K11936	Unknown function	Unknown function	Unknown function
K11937	Unknown function	Unknown function	Unknown function
K11938	Unknown function	Unknown function	Unknown function
K11939	Unknown function	Unknown function	Unknown function
K11940	Unknown function	Unknown function	Unknown function
K11941	Unknown function	Unknown function	Unknown function
K11942	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K11942	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K11942	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K11943	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K11944	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K11945	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K11946	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K11947	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K11948	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K11949	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K11950	Environmental Information Processing	Membrane Transport	Transporters
K11950	Environmental Information Processing	Membrane Transport	ABC transporters
K11951	Environmental Information Processing	Membrane Transport	Transporters
K11951	Environmental Information Processing	Membrane Transport	ABC transporters
K11952	Environmental Information Processing	Membrane Transport	Transporters
K11952	Environmental Information Processing	Membrane Transport	ABC transporters
K11953	Environmental Information Processing	Membrane Transport	Transporters
K11953	Environmental Information Processing	Membrane Transport	ABC transporters
K11954	Environmental Information Processing	Membrane Transport	Transporters
K11954	Environmental Information Processing	Membrane Transport	ABC transporters
K11955	Environmental Information Processing	Membrane Transport	Transporters
K11955	Environmental Information Processing	Membrane Transport	ABC transporters
K11956	Environmental Information Processing	Membrane Transport	Transporters
K11956	Environmental Information Processing	Membrane Transport	ABC transporters
K11957	Environmental Information Processing	Membrane Transport	Transporters
K11957	Environmental Information Processing	Membrane Transport	ABC transporters
K11958	Environmental Information Processing	Membrane Transport	Transporters
K11958	Environmental Information Processing	Membrane Transport	ABC transporters
K11959	Environmental Information Processing	Membrane Transport	Transporters
K11959	Environmental Information Processing	Membrane Transport	ABC transporters
K11960	Environmental Information Processing	Membrane Transport	Transporters
K11960	Environmental Information Processing	Membrane Transport	ABC transporters
K11961	Environmental Information Processing	Membrane Transport	Transporters
K11961	Environmental Information Processing	Membrane Transport	ABC transporters
K11962	Environmental Information Processing	Membrane Transport	Transporters
K11962	Environmental Information Processing	Membrane Transport	ABC transporters
K11963	Environmental Information Processing	Membrane Transport	Transporters
K11963	Environmental Information Processing	Membrane Transport	ABC transporters
K11964	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11967	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11968	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11969	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11970	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11971	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11972	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11973	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11974	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11975	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11976	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11977	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11978	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11979	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11980	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11981	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11981	Cellular Processes	Transport and Catabolism	Endocytosis
K11982	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K11983	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
